Category,Description,Store,Availability,Fee,Store location,Recycling information
Aluminum,Cans,Target,All Stores,No,https://www.target.com/store-locator/find-stores,https://help.target.com/help/targetguesthelparticledetail?articleId=ka91Y000000L5eFQAS&articleTitle=Can+I+recycle+items+at+a+Target+store%3F&clickSearchVar=Search+Results&searchQuery=recycle
Electronics,Cellphone,Target,All Stores,No,https://www.target.com/store-locator/find-stores,https://help.target.com/help/targetguesthelparticledetail?articleId=ka91Y000000L5eFQAS&articleTitle=Can+I+recycle+items+at+a+Target+store%3F&clickSearchVar=Search+Results&searchQuery=recycle
Electronics,Ink Cartridges,Target,All Stores,No,https://www.target.com/store-locator/find-stores,https://help.target.com/help/targetguesthelparticledetail?articleId=ka91Y000000L5eFQAS&articleTitle=Can+I+recycle+items+at+a+Target+store%3F&clickSearchVar=Search+Results&searchQuery=recycle
Electronics,Mp3s,Target,All Stores,No,https://www.target.com/store-locator/find-stores,https://help.target.com/help/targetguesthelparticledetail?articleId=ka91Y000000L5eFQAS&articleTitle=Can+I+recycle+items+at+a+Target+store%3F&clickSearchVar=Search+Results&searchQuery=recycle
,,Office Depot,,"Nominal fee of $5, $10 or $15 for this service to cover the costs of the box, shipment and recycling.",https://www.officedepot.com/storelocator/,https://www.officedepot.com/speciallinks/us/od/docs/promo/pages/docs/techrecyclingbroch_july.pdf
Foam,Cups (Clean),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Foam,Egg cartons,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Foam,Takeout trays (Clean),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Glass,Bottles,Target,All Stores,No,https://www.target.com/store-locator/find-stores,https://help.target.com/help/targetguesthelparticledetail?articleId=ka91Y000000L5eFQAS&articleTitle=Can+I+recycle+items+at+a+Target+store%3F&clickSearchVar=Search+Results&searchQuery=recycle
Paper,Ad inserts,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Paper,Newspapers,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Paper,Paper bags,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Paper,Publix ApronsÂ® recipe cards,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Air pillows,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,#2 Soft Plastics,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,#4 Soft Plastics,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Bread),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Cereal) (not the ones that come in a box),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Dry Cleaning/protective plastic),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Ice),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Pharmacy),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Produce),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Salt) ,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bags (Wood pellet),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Bottles,Target,All Stores,No,https://www.target.com/store-locator/find-stores,"https://corporate.target.com/press/releases/2010/04/target-launches-recycling-stations#:~:text=Located%20at%20the%20front%20of,.com%2Feco%2Dfriendly."
Plastic,Cling wrap (Clean and dry),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Newspaper Sleeves,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Overwrap from napkins,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Overwrap from paper towels,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Overwrap from shipping cases,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Overwrap from toilet paper,Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
Plastic,Zip-top and other resealable bags (without the zipper),Publix,All Stores,No,https://www.publix.com/locations,https://sustainability.publix.com/storefront/customer-recycling/
